commune,code_insee
Aix-en-Provence,13001
Allauch,13002
Alleins,13003
Aubagne,13005
Auriol,13007
Aurons,13008
La Barben,13009
Beaurecueil,13012
Belcodène,13013
Berre-l'Étang,13014
Bouc-Bel-Air,13015
La Bouilladisse,13016
Cabriès,13019
Cadolive,13020
Carry-le-Rouet,13021
Cassis,13022
Ceyreste,13023
Charleval,13024
Châteauneuf-le-Rouge,13025
Châteauneuf-les-Martigues,13026
La Ciotat,13028
Cornillon-Confoux,13029
Cuges-les-Pins,13030
La Destrousse,13031
Éguilles,13032
Ensuès-la-Redonne,13033
Eyguières,13035
La Fare-les-Oliviers,13037
Fos-sur-Mer,13039
Fuveau,13040
Gardanne,13041
Gémenos,13042
Gignac-la-Nerthe,13043
Grans,13044
Gréasque,13046
Istres,13047
Jouques,13048
Lamanon,13049
Lambesc,13050
Lançon-Provence,13051
Mallemort,13053
Marignane,13054
Marseille,13055
Martigues,13056
Meyrargues,13059
Meyreuil,13060
Mimet,13062
Miramas,13063
Pélissanne,13069
La Penne-sur-Huveaune,13070
Les Pennes-Mirabeau,13071
Peynier,13072
Peypin,13073
Peyrolles-en-Provence,13074
Plan-de-Cuques,13075
Port-de-Bouc,13077
Port-Saint-Louis-du-Rhône,13078 
Puyloubier,13079
Le Puy-Sainte-Réparade,13080
Rognac,13081
Rognes,13082
La Roque-d'Anthéron,13084
Roquefort-la-Bédoule,13085
Roquevaire,13086
Rousset,13087
Le Rove,13088
Saint-Antonin-sur-Bayon,13090
Saint-Cannat,13091
Saint-Chamas,13092
Saint-Estève-Janson,13093
Saint-Marc-Jaumegarde,13095
Saint-Mitre-les-Remparts,13098
Saint-Paul-lès-Durance,13099
Saint-Savournin,13101
Saint-Victoret,13102
Salon-de-Provence,13103
Sausset-les-Pins,13104
Sénas,13105
Septèmes-les-Vallons,13106
Simiane-Collongue,13107
Le Tholonet,13109
Trets,13110
Vauvenargues,13111
Velaux,13112
Venelles,13113
Ventabren,13114
Vernègues,13115
Vitrolles,13117
Coudoux,13118
Carnoux-en-Provence,13119
Saint-Zacharie,83120
Pertuis,84089
Marseille 10e  Arrondissement,13210
Marseille 11e  Arrondissement,13211
Marseille 12e  Arrondissement,13212
Marseille 13e  Arrondissement,13213
Marseille 14e  Arrondissement,13214
Marseille 15e  Arrondissement,13215
Marseille 16e  Arrondissement,13216
Marseille 1er Arrondissement,13201
Marseille 2e  Arrondissement,13202
Marseille 3e  Arrondissement,13203
Marseille 4e  Arrondissement,13204
Marseille 5e  Arrondissement,13205
Marseille 6e  Arrondissement,13206
Marseille 7e  Arrondissement,13207
Marseille 8e  Arrondissement,13208
Marseille 9e  Arrondissement,13209